id_athlete,last_name,first_name,id_team,team_name
18033180.0,MATVEYEVA,Yelizaveta,91386,Kazakhstan
18033187.0,SAHLI,Hamza,91445,Morocco
18033419.0,BROWN,Joseph,91849,United States
18033424.0,VAN VUUREN,Jovan,91331,South Africa
18033493.0,HAMILTON,Rowan,91425,Canada
18033707.0,ROSIUS,Rani,91068,Belgium
18033862.0,BENINI FLORIANI,Chiara,91740,Italy
18033915.0,WINBERG,Hampus,95122,Sweden
18033932.0,BUTLER,Aaliyah,91849,United States
18033975.0,LICONA,Lina Esther,91368,Colombia
18033981.0,LONG,Mckenzie,91849,United States
18033986.0,YEARGIN,Nicole,92761,Great Britain
18034056.0,LARCHERON,Madeleine,95110,FRA
18034059.0,HEYN,Paige,93865,United States
18034060.0,PINSON,Poe,93865,United States
18034104.0,SARKKINEN,Jonni Kunnari,10238,Finland
18034178.0,RAMÍREZ,Andrea,93121,Mexico
18034332.0,VALDIVIA,Thalía,92612,Peru
18034435.0,USORO,Ruth,97539,Nigeria
18035307.0,ERGASHEV,Khabibullo,92258,Uzbekistan
18035370.0,KEHLI,Zohra Nora,10690,Algeria
18035449.0,WESEMANN,Moritz,92352,Germany
18035508.0,AOKUSO,Paulo,11102,Australia
18035741.0,VERYASOV,Ivan,194291,ROC
18035746.0,KHATAYEV,Imam,194291,ROC
18035755.0,SCHELSTRAETE,Victor,10207,Belgium
18035762.0,SCHACHIDOV,Magomed,11160,Germany
18035763.0,BAKSHI,Gleb,194291,ROC
18035769.0,ALIEV,Mourad,15333,France
18035848.0,GHADFA DRISSI EL AISSAOUI,Ayoub,12428,Spain
18035852.0,ALFONSO DOMINGUEZ,Loren Berto,11967,Azerbaijan
18035906.0,GERASIMOVA,Elena,194642,ROC
18035914.0,CASALI,Lorenzo Minh,94443,ITA
18035925.0,MAHMOUD,Jana,91611,Egypt
18035928.0,PRAASTERINK,Else,92078,Netherlands
18035934.0,VAELEN,Lisa,91355,Belgium
18035956.0,GUAN,Chenchen,91858,China
18035967.0,MOORE,Jesse,92756,Australia
18035968.0,CUYLE,Glen,91355,Belgium
18035979.0,LEE,Dayeong,91524,Republic of Korea
18035986.0,HERON,Hillary,93669,Panama
18035999.0,SOARES,Julia,91777,Brazil
18036010.0,WHITEHOUSE,Luke,94067,Great Britain
18036044.0,OU,Yushan,91858,China
18036048.0,OKA,Shinnosuke,94494,Japan
18036051.0,SHIN,Solyi,91524,Republic of Korea
18036052.0,RYU,Sunghyun,91524,Republic of Korea
18036055.0,LISTUNOVA,Viktoriia,194642,ROC
18036113.0,LEE,Cassandra,92018,Canada
18036115.0,GADIROVA,Jennifer,94067,Great Britain
18036116.0,GADIROVA,Jessica,94067,Great Britain
18036122.0,SPENDOLINI SIRIEIX,Andrea,89933,Great Britain
18036210.0,TAVANO,Asya,10221,Italy
18036491.0,LYTVYNENKO,Yelyzaveta,11988,Ukraine
18036548.0,MWEA,Lataisi,95811,Kiribati
18036556.0,KAKIOUEA,Winzar,92287,Nauru
18036594.0,TORO SOLER,Ariane,8771,Spain
18036598.0,ASKILASHVILI,Eter,8808,Georgia
18036602.0,HAJIYEV,Eljan,8769,Azerbaijan
18036664.0,WOLCZAK,Yam,11985,Israel
18036705.0,MAGISTRATI,Abigail,94449,Argentina
18036766.0,NAJJAR,Lais,93537,Syria
18036778.0,MILADINOV,Josif,91601,Bulgaria
18036779.0,ASLAN,Yigit,92048,Türkiye
18036781.0,LIA,Nicholas,89949,Norway
18036785.0,PILATO,Benedetta,91971,Italy
18036786.0,CHIKUNOVA,Evgeniya,194639,ROC
18036798.0,TUNÇEL,Merve,92048,Türkiye
18036811.0,RICHARDS,Matthew,95254,Great Britain
18036898.0,COSTEA,Bianca,91977,Romania
18036902.0,REBELO,Camila,91070,Portugal
18036906.0,LEVTEROV,Kaloyan,91601,Bulgaria
18036913.0,WHITTLE,Jacob,95254,Great Britain
18036926.0,VANOTTERDIJK,Roos,91432,Belgium
18036939.0,BLAŽEVSKA EMINOVA,Mia,92342,North Macedonia
18037149.0,SAKA,Berke,92048,Türkiye
18037152.0,COSTA,João,91070,Portugal
18037156.0,MARKOS,Dimitrios,94631,Greece
18037234.0,VANNINEN,Saga,92122,Finland
18037268.0,SELIN,Artem,92362,Germany
18037582.0,ÇITAK,Yigit Yalçin,91044,Türkiye
18037717.0,SEO,Chaehyun,98335,Republic of Korea
18037727.0,PRINCE,Conner,95182,United States
18037730.0,CAN,Sena,92561,Türkiye
18037825.0,BARRETT,Stephanie,97563,CAN
18038197.0,DEGUCHI,Kelly,11148,Canada
18038285.0,LEKIC,Jovan,93155,Bosnia & Herzegovina
18038368.0,VAN DER DUIN,Maike,89885,Netherlands
18038379.0,FINUCANE,Emma,89899,Great Britain
