id_epreuve,epreuve_name,genre,epreuve_type,is_individual,is_olympic,is_summer,is_handicap,result_direction,id_discipline,id_sport
6548,Par équipes Sabre - Femmes,Femmes,Equipe,False,True,True,False,0,35,33
6549,Relais par équipes - Mixte,Mixte,Equipe,False,True,True,False,0,142,11
6550,Par équipes - Femmes,Femmes,Equipe,False,False,True,False,0,12,51
6551,Perche - Femmes,Femmes,Individuel,True,True,True,False,1,251,28
6556,1500m - Femmes,Femmes,Individuel,True,True,True,False,0,251,28
6558,Distance Olympique - Femmes,Femmes,Individuel,True,True,True,False,0,142,11
6560,Relais 4 x 100m Nage libre - Femmes,Femmes,Equipe,False,True,True,False,0,355,65
6561,200m Nage libre - Femmes,Femmes,Individuel,True,True,True,False,0,355,65
6562,200m Dos - Femmes,Femmes,Individuel,True,True,True,False,0,355,65
6563,400m Nage libre - Femmes,Femmes,Individuel,True,True,True,False,0,355,65
6566,100m Dos - Femmes,Femmes,Individuel,True,True,True,False,0,355,65
6567,Relais 4 x 200m Nage libre - Femmes,Femmes,Equipe,False,True,True,False,0,355,65
6573,Deux de couple - Poids léger Femmes,Femmes,Equipe,False,True,True,False,0,8,15
6574,Relais 4 x 100m 4 nages - Mixte,Mixte,Equipe,False,True,True,False,0,355,65
6577,K4 500m - Femmes,Femmes,Equipe,False,True,True,False,0,397,54
6580,K1 500m - Femmes,Femmes,Individuel,True,True,True,False,0,397,54
6581,K2 500m - Femmes,Femmes,Double,False,True,True,False,0,397,54
6582,K1 200m - Femmes,Femmes,Individuel,True,False,True,False,0,397,54
6584,K1 - Femmes,Femmes,Individuel,True,True,True,False,0,397,56
6586,800m - Femmes,Femmes,Individuel,True,True,True,False,0,251,28
6587,RS:X - Women,Femmes,Individuel,True,False,True,False,0,372,1
6589,3000m Steeplechase - Femmes,Femmes,Individuel,True,True,True,False,0,251,28
6590,100m Haies - Femmes,Femmes,Individuel,True,True,True,False,0,251,28
6591,Triple saut - Femmes,Femmes,Individuel,True,True,True,False,1,251,28
6593,10m Carabine à air comprimé - Femmes,Femmes,Individuel,True,True,True,False,1,136,66
6596,50m Carabine 3 positions - Femmes,Femmes,Individuel,True,True,True,False,1,136,66
6600,400m 4 nages (individuel) - Femmes,Femmes,Individuel,True,True,True,False,0,355,65
6601,200m 4 nages (individuel) - Femmes,Femmes,Individuel,True,True,True,False,0,355,65
6602,200m Brasse - Femmes,Femmes,Individuel,True,True,True,False,0,355,65
6603,1500m Nage libre - Femmes,Femmes,Individuel,True,True,True,False,0,355,65
6604,200m Papillon - Femmes,Femmes,Individuel,True,True,True,False,0,355,65
6607,10km - Femmes,Femmes,Individuel,True,True,True,False,0,83,114
6611,200m - Femmes,Femmes,Individuel,True,True,True,False,0,251,28
6612,Relais 4 x 100m - Femmes,Femmes,Equipe,False,True,True,False,0,251,28
6615,Longueur - Femmes,Femmes,Individuel,True,True,True,False,1,251,28
6616,10000m - Femmes,Femmes,Individuel,True,True,True,False,0,251,28
6617,Marathon - Femmes,Femmes,Individuel,True,True,True,False,0,251,28
6618,5000m - Femmes,Femmes,Individuel,True,True,True,False,0,251,28
6620,Skiff - Femmes,Femmes,Equipe,False,True,True,False,0,8,15
6628,Saut - Femmes,Femmes,Individuel,True,True,True,False,1,310,26
6629,Par équipes - Mixte,Mixte,Equipe,False,True,True,False,0,68,61
6631,Trap - Femmes,Femmes,Individuel,True,True,True,False,1,275,66
6634,Slopestyle - Femmes,Femmes,Individuel,True,True,False,False,1,110,6
6635,100m Nage libre - Femmes,Femmes,Individuel,True,True,True,False,0,355,65
6637,50m Nage libre - Femmes,Femmes,Individuel,True,True,True,False,0,355,65
6638,Relais 4 x 100m 4 nages - Femmes,Femmes,Equipe,False,True,True,False,0,355,65
6643,3m Tremplin - Femmes,Femmes,Individuel,True,True,True,False,1,84,3
6644,3m Tremplin Synchro - Femmes,Femmes,Equipe,False,True,True,False,1,84,3
6645,10m Plateforme - Femmes,Femmes,Individuel,True,True,True,False,1,84,3
6646,Singles - Femmes,Femmes,Individuel,True,True,False,False,1,120,57
6647,Par équipes - Mixte,Mixte,Equipe,False,True,False,False,1,120,57
6648,Golf Individuel - Femmes,Femmes,Individuel,True,True,True,False,0,38,48
6651,Snowboard Cross - Femmes,Femmes,Individuel,True,True,False,False,0,111,23
6652,ILCA 6 - Femmes,Femmes,Individuel,True,True,True,False,0,144,1
6655,Javelot - Femmes,Femmes,Individuel,True,True,True,False,1,251,28
6657,470 - Femmes,Femmes,Double,False,False,True,False,0,144,1
6660,800m Nage libre - Femmes,Femmes,Individuel,True,True,True,False,0,355,65
6675,Individuel CSO - Open,Open,Double,False,True,True,False,0,30,38
6676,Par équipes CSO - Open,Open,Equipe,False,True,True,False,0,30,38
6683,Individuel CCE - Open,Open,Double,False,True,True,False,0,28,14
6684,Par équipes CCE - Open,Open,Equipe,False,True,True,False,0,28,14
6688,100m Papillon - Femmes,Femmes,Individuel,True,True,True,False,0,355,65
6691,Omnium - Femmes,Femmes,Individuel,True,True,True,False,0,22,13
6694,Poursuite Par équipes - Femmes,Femmes,Equipe,False,True,True,False,0,22,13
6695,Madison - Femmes,Femmes,Equipe,False,True,True,False,1,22,13
6696,Cross Country - Femmes,Femmes,Individuel,True,True,True,False,0,256,12
